threshold,split,tp,tn,fp,fn,accuracy,precision,recall,f1,false_merge_rate
0.5,DEV,108,124,0,18,0.928,1.0,0.8571,0.9231,0.0
0.55,DEV,108,124,0,18,0.928,1.0,0.8571,0.9231,0.0
0.6,DEV,108,124,0,18,0.928,1.0,0.8571,0.9231,0.0
0.65,DEV,92,124,0,34,0.864,1.0,0.7302,0.844,0.0
0.7,DEV,92,124,0,34,0.864,1.0,0.7302,0.844,0.0
0.75,DEV,71,124,0,55,0.78,1.0,0.5635,0.7208,0.0
0.8,DEV,71,124,0,55,0.78,1.0,0.5635,0.7208,0.0
0.85,DEV,53,124,0,73,0.708,1.0,0.4206,0.5922,0.0
0.9,DEV,53,124,0,73,0.708,1.0,0.4206,0.5922,0.0
0.5,TEST,102,126,0,22,0.912,1.0,0.8226,0.9027,0.0
